T02,"Population, density and surface area",,,,,
533,Aruba,2017,Population density,585.3667,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
533,Aruba,2017,Surface area (thousand km2),0.1800,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
533,Aruba,2019,Population mid-year estimates (millions),0.1063,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
533,Aruba,2019,Population mid-year estimates for males (millions),0.0504,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
533,Aruba,2019,Population mid-year estimates for females (millions),0.0559,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
533,Aruba,2019,Sex ratio (males per 100 females),90.2912,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
533,Aruba,2019,Population aged 0 to 14 years old (percentage),17.6204,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
533,Aruba,2019,Population aged 60+ years old (percentage),21.0612,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
533,Aruba,2019,Population density,590.6333,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
36,Australia,2005,Population mid-year estimates (millions),20.1785,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
36,Australia,2005,Population mid-year estimates for males (millions),10.0701,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
36,Australia,2005,Population mid-year estimates for females (millions),10.1085,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
36,Australia,2005,Sex ratio (males per 100 females),99.6201,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
36,Australia,2005,Population aged 0 to 14 years old (percentage),19.8148,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
36,Australia,2005,Population aged 60+ years old (percentage),17.4165,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
36,Australia,2005,Population density,2.6266,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
36,Australia,2010,Population mid-year estimates (millions),22.1547,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
36,Australia,2010,Population mid-year estimates for males (millions),11.0794,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
36,Australia,2010,Population mid-year estimates for females (millions),11.0753,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
36,Australia,2010,Sex ratio (males per 100 females),100.0366,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
36,Australia,2010,Population aged 0 to 14 years old (percentage),19.0323,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
36,Australia,2010,Population aged 60+ years old (percentage),18.8436,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
36,Australia,2010,Population density,2.8839,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
36,Australia,2017,Population mid-year estimates (millions),24.5846,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
36,Australia,2017,Population mid-year estimates for males (millions),12.2436,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
36,Australia,2017,Population mid-year estimates for females (millions),12.3410,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
36,Australia,2017,Sex ratio (males per 100 females),99.2113,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
36,Australia,2017,Population aged 0 to 14 years old (percentage),19.0650,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
36,Australia,2017,Population aged 60+ years old (percentage),20.8116,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
36,Australia,2017,Population density,3.2002,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
36,Australia,2017,Surface area (thousand km2),7692.0600,Including Norfolk Island.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
36,Australia,2019,Population mid-year estimates (millions),25.2032,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
36,Australia,2019,Population mid-year estimates for males (millions),12.5513,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
36,Australia,2019,Population mid-year estimates for females (millions),12.6519,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
36,Australia,2019,Sex ratio (males per 100 females),99.2050,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
36,Australia,2019,Population aged 0 to 14 years old (percentage),19.2754,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
36,Australia,2019,Population aged 60+ years old (percentage),21.4395,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
36,Australia,2019,Population density,3.2807,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
40,Austria,2005,Population mid-year estimates (millions),8.2537,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
40,Austria,2005,Population mid-year estimates for males (millions),4.0121,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
40,Austria,2005,Population mid-year estimates for females (millions),4.2416,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
40,Austria,2005,Sex ratio (males per 100 females),94.5884,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
40,Austria,2005,Population aged 0 to 14 years old (percentage),15.9718,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
40,Austria,2005,Population aged 60+ years old (percentage),22.0952,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
40,Austria,2005,Population density,100.1547,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
40,Austria,2010,Population mid-year estimates (millions),8.4099,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
40,Austria,2010,Population mid-year estimates for males (millions),4.0986,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
40,Austria,2010,Population mid-year estimates for females (millions),4.3113,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
40,Austria,2010,Sex ratio (males per 100 females),95.0674,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
40,Austria,2010,Population aged 0 to 14 years old (percentage),14.7167,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
40,Austria,2010,Population aged 60+ years old (percentage),23.2676,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
40,Austria,2010,Population density,102.0513,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
40,Austria,2017,Population mid-year estimates (millions),8.8199,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
40,Austria,2017,Population mid-year estimates for males (millions),4.3302,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
40,Austria,2017,Population mid-year estimates for females (millions),4.4897,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
40,Austria,2017,Sex ratio (males per 100 females),96.4470,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
40,Austria,2017,Population aged 0 to 14 years old (percentage),14.2309,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
40,Austria,2017,Population aged 60+ years old (percentage),24.7457,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
40,Austria,2017,Population density,107.0259,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
40,Austria,2017,Surface area (thousand km2),83.8710,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
40,Austria,2019,Population mid-year estimates (millions),8.9551,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
40,Austria,2019,Population mid-year estimates for males (millions),4.4094,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
40,Austria,2019,Population mid-year estimates for females (millions),4.5457,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
40,Austria,2019,Sex ratio (males per 100 females),97.0005,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
40,Austria,2019,Population aged 0 to 14 years old (percentage),14.3619,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
40,Austria,2019,Population aged 60+ years old (percentage),25.3214,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
40,Austria,2019,Population density,108.6666,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
31,Azerbaijan,2005,Population mid-year estimates (millions),8.5386,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
31,Azerbaijan,2005,Population mid-year estimates for males (millions),4.2068,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
31,Azerbaijan,2005,Population mid-year estimates for females (millions),4.3318,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
31,Azerbaijan,2005,Sex ratio (males per 100 females),97.1145,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
31,Azerbaijan,2005,Population aged 0 to 14 years old (percentage),26.2295,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
31,Azerbaijan,2005,Population aged 60+ years old (percentage),8.5210,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
31,Azerbaijan,2005,Population density,103.3004,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
31,Azerbaijan,2010,Population mid-year estimates (millions),9.0325,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
31,Azerbaijan,2010,Population mid-year estimates for males (millions),4.4751,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
31,Azerbaijan,2010,Population mid-year estimates for females (millions),4.5574,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
31,Azerbaijan,2010,Sex ratio (males per 100 females),98.1945,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
31,Azerbaijan,2010,Population aged 0 to 14 years old (percentage),22.8353,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
31,Azerbaijan,2010,Population aged 60+ years old (percentage),8.1149,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
31,Azerbaijan,2010,Population density,109.2751,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
31,Azerbaijan,2017,Population mid-year estimates (millions),9.8453,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
31,Azerbaijan,2017,Population mid-year estimates for males (millions),4.9074,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
31,Azerbaijan,2017,Population mid-year estimates for females (millions),4.9379,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
31,Azerbaijan,2017,Sex ratio (males per 100 females),99.3816,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
31,Azerbaijan,2017,Population aged 0 to 14 years old (percentage),23.2877,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
31,Azerbaijan,2017,Population aged 60+ years old (percentage),10.0693,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
31,Azerbaijan,2017,Population density,119.1091,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
31,Azerbaijan,2017,Surface area (thousand km2),86.6000,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
31,Azerbaijan,2019,Population mid-year estimates (millions),10.0477,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
31,Azerbaijan,2019,Population mid-year estimates for males (millions),5.0158,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
31,Azerbaijan,2019,Population mid-year estimates for females (millions),5.0319,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
31,Azerbaijan,2019,Sex ratio (males per 100 females),99.6810,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
31,Azerbaijan,2019,Population aged 0 to 14 years old (percentage),23.4419,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
31,Azerbaijan,2019,Population aged 60+ years old (percentage),11.0734,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
31,Azerbaijan,2019,Population density,121.5577,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
44,Bahamas,2005,Population mid-year estimates (millions),0.3249,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
44,Bahamas,2005,Population mid-year estimates for males (millions),0.1578,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
44,Bahamas,2005,Population mid-year estimates for females (millions),0.1671,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
44,Bahamas,2005,Sex ratio (males per 100 females),94.4324,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
44,Bahamas,2005,Population aged 0 to 14 years old (percentage),28.1091,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
44,Bahamas,2005,Population aged 60+ years old (percentage),8.6268,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
44,Bahamas,2005,Population density,32.4534,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
44,Bahamas,2010,Population mid-year estimates (millions),0.3549,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
44,Bahamas,2010,Population mid-year estimates for males (millions),0.1720,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
44,Bahamas,2010,Population mid-year estimates for females (millions),0.1829,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
44,Bahamas,2010,Sex ratio (males per 100 females),94.0294,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
44,Bahamas,2010,Population aged 0 to 14 years old (percentage),26.8838,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
44,Bahamas,2010,Population aged 60+ years old (percentage),9.0071,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
44,Bahamas,2010,Population density,35.4587,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
44,Bahamas,2017,Population mid-year estimates (millions),0.3818,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
44,Bahamas,2017,Population mid-year estimates for males (millions),0.1854,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
44,Bahamas,2017,Population mid-year estimates for females (millions),0.1964,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
44,Bahamas,2017,Sex ratio (males per 100 females),94.4079,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
44,Bahamas,2017,Population aged 0 to 14 years old (percentage),22.8741,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
44,Bahamas,2017,Population aged 60+ years old (percentage),10.8991,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
44,Bahamas,2017,Population density,38.1374,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
44,Bahamas,2017,Surface area (thousand km2),13.9400,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
44,Bahamas,2019,Population mid-year estimates (millions),0.3895,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
44,Bahamas,2019,Population mid-year estimates for males (millions),0.1892,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
44,Bahamas,2019,Population mid-year estimates for females (millions),0.2003,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
44,Bahamas,2019,Sex ratio (males per 100 females),94.4940,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
44,Bahamas,2019,Population aged 0 to 14 years old (percentage),22.0757,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
44,Bahamas,2019,Population aged 60+ years old (percentage),11.7305,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
44,Bahamas,2019,Population density,38.9093,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
48,Bahrain,2005,Population mid-year estimates (millions),0.8892,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
48,Bahrain,2005,Population mid-year estimates for males (millions),0.5341,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
48,Bahrain,2005,Population mid-year estimates for females (millions),0.3550,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
48,Bahrain,2005,Sex ratio (males per 100 females),150.4548,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
48,Bahrain,2005,Population aged 0 to 14 years old (percentage),25.6844,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
48,Bahrain,2005,Population aged 60+ years old (percentage),3.4373,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
48,Bahrain,2005,Population density,1169.9526,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
48,Bahrain,2010,Population mid-year estimates (millions),1.2409,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
